DNA_plate,DNA_well,metric,value,analysis
plate_3,A11,unrooted_pd,115.692,100K
plate_3,A11,bwpd,1.966,100K
plate_3,A12,unrooted_pd,118.365,100K
plate_3,A12,bwpd,2.39674,100K
plate_3,A1,unrooted_pd,128.136,100K
plate_3,A1,bwpd,2.15143,100K
plate_3,A2,unrooted_pd,139.218,100K
plate_3,A2,bwpd,2.15115,100K
plate_3,A3,unrooted_pd,121.637,100K
plate_3,A3,bwpd,2.16252,100K
plate_3,A4,unrooted_pd,137.255,100K
plate_3,A4,bwpd,2.05114,100K
plate_3,A5,unrooted_pd,134.064,100K
plate_3,A5,bwpd,2.31301,100K
plate_3,A6,unrooted_pd,118.435,100K
plate_3,A6,bwpd,1.95911,100K
plate_3,A7,unrooted_pd,137.403,100K
plate_3,A7,bwpd,2.04056,100K
plate_3,A8,unrooted_pd,109.171,100K
plate_3,A8,bwpd,2.23659,100K
plate_3,A9,unrooted_pd,119.054,100K
plate_3,A9,bwpd,1.99239,100K
plate_3,B10,unrooted_pd,139.297,100K
plate_3,B10,bwpd,1.98828,100K
plate_3,B11,unrooted_pd,100.932,100K
plate_3,B11,bwpd,2.23765,100K
plate_3,B12,unrooted_pd,136.118,100K
plate_3,B12,bwpd,1.97408,100K
plate_3,B1,unrooted_pd,123.351,100K
plate_3,B1,bwpd,2.0467,100K
plate_3,B2,unrooted_pd,131.825,100K
plate_3,B2,bwpd,2.18746,100K
plate_3,B3,unrooted_pd,116.159,100K
plate_3,B3,bwpd,2.2229,100K
plate_3,B4,unrooted_pd,127.803,100K
plate_3,B4,bwpd,2.13032,100K
plate_3,B5,unrooted_pd,144.703,100K
plate_3,B5,bwpd,2.00908,100K
plate_3,B6,unrooted_pd,113.681,100K
plate_3,B6,bwpd,2.02253,100K
plate_3,B7,unrooted_pd,130.77,100K
plate_3,B7,bwpd,2.06845,100K
plate_3,B8,unrooted_pd,131.185,100K
plate_3,B8,bwpd,2.06813,100K
plate_3,B9,unrooted_pd,110.777,100K
plate_3,B9,bwpd,2.256,100K
plate_3,C10,unrooted_pd,132.633,100K
plate_3,C10,bwpd,2.00678,100K
plate_3,C11,unrooted_pd,136.23,100K
plate_3,C11,bwpd,1.84756,100K
plate_3,C12,unrooted_pd,146.988,100K
plate_3,C12,bwpd,1.9269,100K
plate_3,C1,unrooted_pd,120.233,100K
plate_3,C1,bwpd,2.21839,100K
plate_3,C2,unrooted_pd,24.3935,100K
plate_3,C2,bwpd,1.88628,100K
plate_3,C3,unrooted_pd,135.204,100K
plate_3,C3,bwpd,2.13346,100K
plate_3,C4,unrooted_pd,127.858,100K
plate_3,C4,bwpd,2.06976,100K
plate_3,C5,unrooted_pd,133.351,100K
plate_3,C5,bwpd,1.95072,100K
plate_3,C6,unrooted_pd,129.512,100K
plate_3,C6,bwpd,2.13977,100K
plate_3,C7,unrooted_pd,132.754,100K
plate_3,C7,bwpd,1.85416,100K
plate_3,C8,unrooted_pd,138.526,100K
plate_3,C8,bwpd,2.05596,100K
plate_3,C9,unrooted_pd,111.5,100K
plate_3,C9,bwpd,1.98218,100K
plate_3,D10,unrooted_pd,109.449,100K
plate_3,D10,bwpd,2.28998,100K
plate_3,D11,unrooted_pd,124.771,100K
plate_3,D11,bwpd,2.07475,100K
plate_3,D12,unrooted_pd,129.646,100K
plate_3,D12,bwpd,2.03908,100K
plate_3,D1,unrooted_pd,129.615,100K
plate_3,D1,bwpd,2.0878,100K
plate_3,D2,unrooted_pd,128.599,100K
plate_3,D2,bwpd,2.21706,100K
plate_3,D3,unrooted_pd,138.397,100K
plate_3,D3,bwpd,2.06672,100K
plate_3,D4,unrooted_pd,126.801,100K
plate_3,D4,bwpd,2.25928,100K
plate_3,D5,unrooted_pd,112.426,100K
plate_3,D5,bwpd,2.04772,100K
plate_3,D6,unrooted_pd,102.992,100K
plate_3,D6,bwpd,2.14913,100K
plate_3,D7,unrooted_pd,128.978,100K
plate_3,D7,bwpd,2.10187,100K
plate_3,D8,unrooted_pd,111.751,100K
plate_3,D8,bwpd,2.15394,100K
plate_3,D9,unrooted_pd,124.349,100K
plate_3,D9,bwpd,1.9696,100K
plate_3,E10,unrooted_pd,100.423,100K
plate_3,E10,bwpd,2.15407,100K
plate_3,E11,unrooted_pd,145.316,100K
plate_3,E11,bwpd,2.12784,100K
plate_3,E12,unrooted_pd,133.903,100K
plate_3,E12,bwpd,2.00212,100K
plate_3,E1,unrooted_pd,116.75,100K
plate_3,E1,bwpd,1.90662,100K
plate_3,E2,unrooted_pd,106.304,100K
plate_3,E2,bwpd,2.12285,100K
plate_3,E3,unrooted_pd,130.109,100K
plate_3,E3,bwpd,2.04181,100K
plate_3,E4,unrooted_pd,120.162,100K
plate_3,E4,bwpd,2.12447,100K
plate_3,E5,unrooted_pd,139.421,100K
plate_3,E5,bwpd,2.03657,100K
plate_3,E6,unrooted_pd,124.39,100K
plate_3,E6,bwpd,2.17944,100K
plate_3,E7,unrooted_pd,130.16,100K
plate_3,E7,bwpd,2.27981,100K
